,Expedition Everest - Legend of the Forbidden Mountain,Avatar Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-03-16 00:46,,,,,
2026-03-16 02:11,,,,,
2026-03-16 03:48,,,,,
2026-03-16 07:39,,35.0,10.0,,
2026-03-16 08:34,25.0,140.0,30.0,40.0,
2026-03-16 10:01,40.0,125.0,60.0,85.0,
2026-03-16 11:09,70.0,140.0,80.0,85.0,
2026-03-16 12:16,80.0,105.0,65.0,60.0,
2026-03-16 13:18,65.0,95.0,60.0,65.0,40.0
2026-03-16 14:11,,95.0,50.0,40.0,
2026-03-16 15:20,,110.0,55.0,35.0,
2026-03-16 15:57,,105.0,65.0,40.0,
2026-03-16 16:34,35.0,80.0,50.0,5.0,25.0
