,TRON Lightcycle / Run,Seven Dwarfs Mine Train,Jungle Cruise,Tiana's Bayou Adventure,Peter Pan's Flight,Big Thunder Mountain Railroad,Space Mountain,The Barnstormer,Dumbo the Flying Elephant,Haunted Mansion,it's a small world,The Magic Carpets of Aladdin,Mad Tea Party,Mickey's PhilharMagic,The Many Adventures of Winnie the Pooh,Pirates of the Caribbean,Tomorrowland Speedway,Under the Sea - Journey of The Little Mermaid,Monsters Inc. Laugh Floor,Buzz Lightyear's Space Ranger Spin
2026-07-29 01:31,,,,,,,,,,,,,,,,,,,,
2026-07-29 04:06,,,,,,,,,,,,,,,,,,,,
2026-07-29 08:54,,55.0,,,35.0,,35.0,5.0,5.0,,5.0,,5.0,,25.0,,10.0,5.0,,
2026-07-29 11:01,40.0,65.0,35.0,40.0,40.0,35.0,45.0,10.0,5.0,25.0,20.0,20.0,15.0,5.0,25.0,25.0,30.0,20.0,,
2026-07-29 12:25,,65.0,40.0,60.0,50.0,40.0,50.0,15.0,25.0,30.0,20.0,20.0,10.0,10.0,35.0,35.0,25.0,15.0,,
2026-07-29 13:44,90.0,60.0,40.0,40.0,40.0,35.0,50.0,20.0,10.0,25.0,20.0,15.0,15.0,10.0,25.0,35.0,20.0,25.0,,
2026-07-29 14:41,125.0,55.0,40.0,40.0,50.0,30.0,45.0,25.0,5.0,35.0,30.0,10.0,5.0,10.0,35.0,25.0,25.0,10.0,,
2026-07-29 15:58,80.0,55.0,45.0,70.0,50.0,35.0,45.0,15.0,5.0,30.0,20.0,5.0,5.0,10.0,30.0,25.0,15.0,20.0,,
2026-07-29 16:52,75.0,55.0,40.0,60.0,45.0,30.0,,25.0,10.0,30.0,20.0,10.0,5.0,15.0,35.0,20.0,25.0,20.0,,
2026-07-29 17:42,105.0,50.0,45.0,60.0,40.0,40.0,,30.0,10.0,15.0,15.0,20.0,10.0,10.0,25.0,20.0,30.0,15.0,,
2026-07-29 18:37,125.0,60.0,45.0,90.0,45.0,,30.0,30.0,25.0,30.0,25.0,25.0,5.0,10.0,35.0,25.0,30.0,30.0,,
2026-07-29 19:37,125.0,50.0,35.0,65.0,45.0,40.0,50.0,45.0,25.0,30.0,20.0,15.0,15.0,15.0,35.0,20.0,20.0,15.0,,
2026-07-29 20:59,120.0,65.0,35.0,85.0,40.0,35.0,45.0,35.0,40.0,20.0,20.0,10.0,15.0,15.0,35.0,10.0,20.0,5.0,,
