Ride,Closed Down,5-15,20-30,35-45,50-60,65-75,80-90,95-105,110-120,125-135,140-150,155-165,170-180,185-195,200-210
Soarin',0.0,0.0,14.3,28.6,57.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Living with the Land,0.0,14.3,85.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Test Track,7.1,0.0,0.0,0.0,0.0,0.0,0.0,71.4,21.4,0.0,0.0,0.0,0.0,0.0,0.0
Guardians of the Galaxy: Cosmic Rewind,0.0,0.0,0.0,0.0,0.0,0.0,14.3,21.4,50.0,0.0,14.3,0.0,0.0,0.0,0.0
Mission: SPACE,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Seas with Nemo & Friends,0.0,35.7,64.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spaceship Earth,0.0,21.4,78.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Remy's Ratatouille Adventure,0.0,0.0,0.0,0.0,21.4,14.3,35.7,28.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gran Fiesta Tour Starring The Three Caballeros,0.0,64.3,35.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frozen Ever After,0.0,0.0,0.0,0.0,35.7,50.0,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
