,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster,Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-04-25 00:42,,,,,,,,
2026-04-25 02:10,,,,,,,,
2026-04-25 03:44,,,,,,,,
2026-04-25 07:31,,,,,,,,
2026-04-25 08:03,,,,,,,,
2026-04-25 09:24,80.0,,20.0,25.0,60.0,50.0,20.0,5.0
2026-04-25 10:11,70.0,,55.0,85.0,75.0,50.0,40.0,5.0
2026-04-25 10:59,65.0,,45.0,70.0,90.0,50.0,55.0,15.0
2026-04-25 11:39,80.0,,55.0,55.0,90.0,60.0,55.0,25.0
2026-04-25 12:21,70.0,,55.0,75.0,85.0,65.0,55.0,20.0
2026-04-25 13:04,70.0,,55.0,65.0,75.0,50.0,55.0,20.0
2026-04-25 13:51,70.0,,50.0,45.0,90.0,60.0,60.0,15.0
2026-04-25 14:29,80.0,,50.0,45.0,90.0,45.0,50.0,20.0
2026-04-25 15:26,65.0,,55.0,60.0,70.0,50.0,50.0,10.0
2026-04-25 15:59,75.0,,50.0,45.0,90.0,45.0,45.0,10.0
2026-04-25 16:41,60.0,,90.0,35.0,70.0,55.0,40.0,5.0
2026-04-25 17:20,70.0,,40.0,65.0,,,50.0,5.0
2026-04-25 17:54,70.0,,60.0,40.0,,,55.0,10.0
2026-04-25 18:23,50.0,,55.0,45.0,,40.0,50.0,10.0
2026-04-25 19:00,55.0,,35.0,45.0,,65.0,55.0,5.0
