,TRON Lightcycle / Run,Seven Dwarfs Mine Train,Jungle Cruise,Tiana's Bayou Adventure,Peter Pan's Flight,Big Thunder Mountain Railroad,Space Mountain,The Barnstormer,Dumbo the Flying Elephant,Haunted Mansion,it's a small world,The Magic Carpets of Aladdin,Mad Tea Party,Mickey's PhilharMagic,The Many Adventures of Winnie the Pooh,Pirates of the Caribbean,Tomorrowland Speedway,Under the Sea - Journey of The Little Mermaid,Monsters Inc. Laugh Floor,Buzz Lightyear's Space Ranger Spin
2026-04-25 00:42,,,,,,,,,,,,,,,,,,,,
2026-04-25 02:10,,,,,,,,,,,,,,,,,,,,
2026-04-25 03:44,,,,,,,,,,,,,,,,,,,,
2026-04-25 07:31,,,,,,,,,,,,,,,,,,,,
2026-04-25 08:03,,,,,,,,,,,,,,,,,,,,
2026-04-25 09:24,55.0,,30.0,5.0,30.0,,,5.0,5.0,13.0,5.0,5.0,5.0,5.0,15.0,5.0,10.0,0.0,10.0,
2026-04-25 10:11,60.0,45.0,30.0,10.0,45.0,,50.0,5.0,10.0,15.0,5.0,10.0,5.0,5.0,30.0,5.0,15.0,5.0,10.0,
2026-04-25 10:59,70.0,50.0,45.0,25.0,25.0,,50.0,15.0,5.0,20.0,20.0,20.0,5.0,5.0,30.0,15.0,15.0,15.0,10.0,
2026-04-25 11:39,65.0,45.0,50.0,30.0,30.0,,40.0,20.0,20.0,30.0,10.0,10.0,10.0,5.0,,30.0,15.0,15.0,10.0,
2026-04-25 12:21,75.0,45.0,45.0,45.0,50.0,,50.0,20.0,15.0,30.0,20.0,15.0,15.0,5.0,30.0,35.0,30.0,20.0,10.0,
2026-04-25 13:04,65.0,55.0,35.0,40.0,45.0,,45.0,15.0,20.0,50.0,15.0,20.0,10.0,5.0,25.0,35.0,25.0,30.0,10.0,
2026-04-25 13:51,65.0,60.0,40.0,40.0,40.0,,45.0,15.0,15.0,30.0,20.0,15.0,15.0,10.0,40.0,30.0,20.0,25.0,10.0,
2026-04-25 14:29,55.0,40.0,45.0,50.0,45.0,,40.0,15.0,40.0,,15.0,10.0,15.0,10.0,15.0,25.0,20.0,25.0,10.0,
2026-04-25 15:26,50.0,50.0,30.0,35.0,40.0,,40.0,15.0,30.0,30.0,15.0,10.0,15.0,10.0,,20.0,5.0,20.0,10.0,
2026-04-25 15:59,60.0,55.0,45.0,60.0,40.0,,35.0,15.0,10.0,30.0,20.0,15.0,15.0,10.0,35.0,30.0,20.0,30.0,10.0,
2026-04-25 16:41,90.0,65.0,40.0,45.0,50.0,,35.0,20.0,25.0,30.0,30.0,25.0,15.0,10.0,35.0,30.0,10.0,25.0,10.0,
2026-04-25 17:20,65.0,,,,50.0,,45.0,,,30.0,15.0,,10.0,10.0,35.0,30.0,,30.0,10.0,
2026-04-25 17:54,85.0,,,,45.0,,,,,35.0,35.0,,20.0,10.0,50.0,30.0,,45.0,10.0,
2026-04-25 18:23,105.0,65.0,50.0,50.0,50.0,,,20.0,10.0,35.0,25.0,10.0,15.0,15.0,35.0,25.0,30.0,30.0,10.0,
2026-04-25 19:00,90.0,65.0,45.0,45.0,45.0,,,15.0,35.0,40.0,10.0,15.0,15.0,15.0,,20.0,10.0,25.0,10.0,
2026-04-25 19:42,95.0,60.0,55.0,45.0,40.0,,30.0,15.0,15.0,25.0,10.0,15.0,15.0,10.0,,20.0,10.0,30.0,10.0,
2026-04-25 21:13,90.0,80.0,5.0,30.0,35.0,,55.0,5.0,15.0,15.0,5.0,5.0,5.0,10.0,25.0,5.0,5.0,,10.0,
