,Expedition Everest,Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-04-25 00:42,,,,,
2026-04-25 02:10,,,,,
2026-04-25 03:44,,,,,
2026-04-25 07:31,,30.0,10.0,,
2026-04-25 08:03,5.0,90.0,10.0,15.0,
2026-04-25 09:24,30.0,95.0,45.0,50.0,
2026-04-25 10:11,35.0,75.0,55.0,55.0,20.0
2026-04-25 10:59,40.0,85.0,75.0,55.0,50.0
2026-04-25 11:39,65.0,65.0,80.0,60.0,50.0
2026-04-25 12:21,50.0,90.0,75.0,50.0,55.0
2026-04-25 13:04,55.0,80.0,75.0,65.0,65.0
2026-04-25 13:51,60.0,80.0,55.0,35.0,90.0
2026-04-25 14:29,35.0,65.0,60.0,15.0,40.0
2026-04-25 15:26,40.0,60.0,55.0,15.0,45.0
2026-04-25 15:59,,55.0,50.0,15.0,45.0
2026-04-25 16:41,,60.0,60.0,20.0,50.0
2026-04-25 17:20,,65.0,60.0,15.0,
2026-04-25 17:54,,60.0,60.0,10.0,
2026-04-25 18:23,15.0,55.0,45.0,10.0,10.0
2026-04-25 19:00,25.0,40.0,25.0,10.0,
