,Expedition Everest - Legend of the Forbidden Mountain,Avatar Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-04-04 00:09,,,,,
2026-04-04 01:35,,,,,
2026-04-04 02:38,,,,,
2026-04-04 03:36,,,,,
2026-04-04 07:20,,,,,
2026-04-04 07:47,5.0,45.0,10.0,,
2026-04-04 08:01,5.0,110.0,10.0,15.0,
2026-04-04 09:14,60.0,115.0,45.0,65.0,
2026-04-04 09:59,40.0,135.0,70.0,80.0,
2026-04-04 10:34,60.0,125.0,65.0,110.0,60.0
2026-04-04 11:02,45.0,120.0,70.0,95.0,100.0
2026-04-04 11:40,95.0,95.0,70.0,80.0,120.0
2026-04-04 11:59,115.0,135.0,75.0,75.0,150.0
2026-04-04 12:39,90.0,185.0,70.0,75.0,25.0
2026-04-04 13:04,85.0,,75.0,75.0,70.0
2026-04-04 13:41,35.0,95.0,60.0,60.0,70.0
2026-04-04 14:01,55.0,120.0,50.0,60.0,70.0
2026-04-04 14:53,45.0,180.0,55.0,50.0,85.0
2026-04-04 15:21,40.0,130.0,75.0,60.0,80.0
2026-04-04 15:48,45.0,120.0,80.0,45.0,80.0
2026-04-04 16:01,45.0,110.0,70.0,40.0,80.0
2026-04-04 16:42,40.0,70.0,65.0,10.0,80.0
2026-04-04 17:03,50.0,65.0,50.0,10.0,80.0
2026-04-04 17:40,30.0,65.0,55.0,10.0,80.0
2026-04-04 17:58,30.0,75.0,60.0,10.0,80.0
2026-04-04 18:29,25.0,75.0,65.0,10.0,50.0
2026-04-04 18:58,20.0,65.0,50.0,10.0,25.0
2026-04-04 19:29,15.0,75.0,50.0,,
2026-04-04 19:55,10.0,55.0,35.0,,
