,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster Starring Aerosmith,The Twilight Zone Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-04-04 00:09,,,,,,,,
2026-04-04 01:35,,,,,,,,
2026-04-04 02:38,,,,,,,,
2026-04-04 03:36,,,,,,,,
2026-04-04 07:20,,,,,,,,
2026-04-04 07:47,,,,,,,,
2026-04-04 08:01,75.0,,13.0,30.0,60.0,,5.0,
2026-04-04 09:14,,,30.0,115.0,100.0,60.0,35.0,5.0
2026-04-04 09:59,,,55.0,80.0,95.0,60.0,50.0,30.0
2026-04-04 10:34,,,30.0,85.0,95.0,60.0,65.0,30.0
2026-04-04 11:02,,,45.0,85.0,120.0,75.0,40.0,25.0
