,TRON Lightcycle / Run,Seven Dwarfs Mine Train,Jungle Cruise,Tiana's Bayou Adventure,Peter Pan's Flight,Big Thunder Mountain Railroad,Space Mountain,The Barnstormer,Dumbo the Flying Elephant,Haunted Mansion,it's a small world,The Magic Carpets of Aladdin,Mad Tea Party,Mickey's PhilharMagic,The Many Adventures of Winnie the Pooh,Pirates of the Caribbean,Tomorrowland Speedway,Under the Sea - Journey of The Little Mermaid,Monsters Inc. Laugh Floor,Buzz Lightyear's Space Ranger Spin
2026-04-18 00:39,,,,,,,,,,,,,,,,,,,,
2026-04-18 02:02,,,,,,,,,,,,,,,,,,,,
2026-04-18 03:22,,,,,,,,,,,,,,,,,,,,
2026-04-18 07:26,,,,,,,,,,,,,,,,,,,,
2026-04-18 07:56,,,,,20.0,,10.0,5.0,5.0,,5.0,,10.0,,5.0,,5.0,,,
2026-04-18 08:43,30.0,50.0,10.0,10.0,20.0,,10.0,5.0,5.0,13.0,5.0,10.0,10.0,15.0,20.0,5.0,5.0,5.0,,
2026-04-18 09:48,85.0,40.0,45.0,10.0,35.0,,20.0,10.0,5.0,13.0,5.0,5.0,10.0,15.0,25.0,5.0,5.0,5.0,10.0,
2026-04-18 10:28,55.0,50.0,45.0,20.0,40.0,,40.0,5.0,5.0,20.0,15.0,10.0,5.0,15.0,15.0,10.0,5.0,5.0,10.0,
2026-04-18 11:05,50.0,55.0,45.0,25.0,45.0,,35.0,20.0,10.0,25.0,15.0,20.0,5.0,10.0,30.0,15.0,10.0,25.0,10.0,
