,Test Track,Guardians of the Galaxy: Cosmic Rewind,Remy's Ratatouille Adventure,Soarin',Living with the Land,Spaceship Earth,Mission: SPACE,Frozen Ever After,Gran Fiesta Tour Starring The Three Caballeros,The Seas with Nemo & Friends
2026-04-09 00:35,,,,,,,,,,
2026-04-09 02:09,,,,,,,,,,
2026-04-09 03:54,,,,,,,,,,
2026-04-09 07:44,,,,,,,,,,
2026-04-09 08:47,,75.0,65.0,,5.0,5.0,15.0,30.0,,5.0
2026-04-09 10:29,130.0,105.0,50.0,60.0,15.0,45.0,20.0,65.0,5.0,20.0
2026-04-09 12:01,115.0,95.0,65.0,80.0,25.0,40.0,45.0,75.0,10.0,35.0
2026-04-09 13:15,115.0,105.0,95.0,60.0,25.0,20.0,30.0,75.0,15.0,40.0
2026-04-09 14:10,125.0,125.0,75.0,90.0,20.0,20.0,15.0,75.0,15.0,
2026-04-09 15:35,90.0,95.0,95.0,65.0,10.0,35.0,30.0,,15.0,20.0
2026-04-09 16:27,90.0,110.0,95.0,70.0,20.0,45.0,20.0,80.0,5.0,25.0
2026-04-09 17:07,,125.0,95.0,65.0,10.0,20.0,20.0,120.0,5.0,35.0
