,Expedition Everest - Legend of the Forbidden Mountain,Avatar Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-04-09 00:35,,,,,
2026-04-09 02:09,,,,,
2026-04-09 03:54,,,,,
2026-04-09 07:44,5.0,40.0,10.0,,
2026-04-09 08:47,10.0,105.0,30.0,25.0,
2026-04-09 10:29,45.0,135.0,65.0,55.0,30.0
2026-04-09 12:01,40.0,105.0,80.0,65.0,50.0
2026-04-09 13:15,45.0,75.0,50.0,60.0,20.0
2026-04-09 14:10,35.0,,70.0,65.0,80.0
2026-04-09 15:35,55.0,90.0,65.0,60.0,45.0
2026-04-09 16:27,45.0,75.0,55.0,30.0,45.0
2026-04-09 17:07,35.0,65.0,75.0,10.0,40.0
2026-04-09 17:55,30.0,80.0,45.0,10.0,20.0
2026-04-09 18:31,20.0,90.0,40.0,10.0,
