,TRON Lightcycle / Run,Seven Dwarfs Mine Train,Jungle Cruise,Tiana's Bayou Adventure,Peter Pan's Flight,Big Thunder Mountain Railroad,Space Mountain,The Barnstormer,Dumbo the Flying Elephant,Haunted Mansion,it's a small world,The Magic Carpets of Aladdin,Mad Tea Party,Mickey's PhilharMagic,The Many Adventures of Winnie the Pooh,Pirates of the Caribbean,Tomorrowland Speedway,Under the Sea - Journey of The Little Mermaid,Monsters Inc. Laugh Floor,Buzz Lightyear's Space Ranger Spin
2026-04-09 00:35,70.0,35.0,,,25.0,,10.0,5.0,5.0,5.0,,5.0,5.0,10.0,10.0,5.0,10.0,5.0,,
2026-04-09 02:09,,,,,,,,,,,,,,,,,,,,
2026-04-09 03:54,,,,,,,,,,,,,,,,,,,,
2026-04-09 07:44,,,,,,,,,,,,,,,,,,,,
2026-04-09 08:47,,80.0,,,40.0,,35.0,5.0,5.0,,,,0.0,,45.0,,5.0,5.0,,45.0
2026-04-09 10:29,110.0,70.0,45.0,40.0,65.0,,55.0,40.0,25.0,35.0,,25.0,15.0,10.0,50.0,35.0,25.0,20.0,10.0,45.0
2026-04-09 12:01,95.0,80.0,55.0,60.0,70.0,,65.0,45.0,40.0,75.0,,35.0,30.0,10.0,50.0,40.0,30.0,30.0,15.0,65.0
2026-04-09 13:15,95.0,85.0,70.0,70.0,50.0,,65.0,40.0,40.0,30.0,,40.0,20.0,15.0,55.0,35.0,45.0,45.0,20.0,55.0
2026-04-09 14:10,105.0,95.0,75.0,70.0,60.0,,75.0,40.0,35.0,45.0,,40.0,25.0,10.0,60.0,45.0,25.0,35.0,15.0,55.0
2026-04-09 15:35,95.0,85.0,95.0,75.0,55.0,,60.0,25.0,35.0,35.0,,40.0,35.0,20.0,65.0,50.0,40.0,50.0,15.0,60.0
2026-04-09 16:27,115.0,85.0,80.0,80.0,65.0,,80.0,40.0,35.0,45.0,,35.0,25.0,15.0,35.0,30.0,25.0,45.0,15.0,60.0
2026-04-09 17:07,110.0,80.0,70.0,80.0,60.0,,75.0,50.0,35.0,45.0,,30.0,25.0,15.0,,35.0,40.0,40.0,15.0,50.0
2026-04-09 17:55,110.0,85.0,60.0,60.0,60.0,,55.0,35.0,35.0,45.0,,30.0,25.0,15.0,40.0,35.0,25.0,45.0,10.0,50.0
