,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster,Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-07-24 01:31,,,,,,,,
2026-07-24 03:55,,,,,,,,
2026-07-24 08:11,,,,,,,,
2026-07-24 10:09,,,40.0,25.0,70.0,45.0,35.0,10.0
2026-07-24 11:42,70.0,,55.0,40.0,60.0,45.0,40.0,20.0
2026-07-24 13:10,60.0,,45.0,40.0,60.0,55.0,55.0,10.0
2026-07-24 14:43,65.0,,35.0,60.0,65.0,35.0,45.0,10.0
2026-07-24 16:01,65.0,,30.0,30.0,65.0,35.0,45.0,10.0
2026-07-24 17:12,,,35.0,45.0,65.0,35.0,40.0,5.0
2026-07-24 18:16,85.0,,70.0,15.0,75.0,40.0,40.0,5.0
2026-07-24 19:17,55.0,,90.0,35.0,50.0,50.0,50.0,5.0
2026-07-24 20:16,55.0,,35.0,40.0,70.0,,45.0,15.0
2026-07-24 22:14,,,,,,,,
