,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster Starring Aerosmith,The Twilight Zone Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-03-28 00:12,,,,,,,,
2026-03-28 01:35,,,,,,,,
2026-03-28 02:36,,,,,,,,
2026-03-28 03:31,,,,,,,,
2026-03-28 07:19,,,,,,,,
2026-03-28 07:46,,,,,,,,
2026-03-28 07:59,,,,,,,,
2026-03-28 08:59,80.0,,20.0,35.0,65.0,20.0,25.0,5.0
2026-03-28 09:52,70.0,,40.0,60.0,70.0,55.0,50.0,5.0
2026-03-28 10:20,85.0,,60.0,60.0,70.0,50.0,40.0,15.0
2026-03-28 10:54,85.0,,65.0,55.0,100.0,50.0,60.0,5.0
2026-03-28 11:18,85.0,,50.0,75.0,100.0,60.0,55.0,15.0
2026-03-28 11:48,55.0,,115.0,85.0,85.0,65.0,55.0,15.0
2026-03-28 12:03,75.0,,60.0,80.0,90.0,65.0,65.0,15.0
2026-03-28 12:46,95.0,,40.0,85.0,90.0,65.0,65.0,20.0
