,Expedition Everest,Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-05-31 03:09,,,,,
2026-05-31 08:05,,55.0,15.0,20.0,
2026-05-31 10:07,30.0,60.0,40.0,40.0,15.0
2026-05-31 11:37,40.0,85.0,55.0,45.0,45.0
2026-05-31 12:43,35.0,45.0,55.0,20.0,40.0
2026-05-31 13:44,35.0,45.0,30.0,20.0,40.0
2026-05-31 14:50,15.0,70.0,50.0,5.0,35.0
2026-05-31 15:57,30.0,35.0,35.0,5.0,45.0
2026-05-31 16:53,15.0,40.0,35.0,5.0,45.0
2026-05-31 17:44,20.0,40.0,25.0,5.0,55.0
2026-05-31 18:40,,20.0,10.0,5.0,30.0
2026-05-31 19:43,,,,,
2026-05-31 22:00,,,,,
