,Test Track,Guardians of the Galaxy: Cosmic Rewind,Remy's Ratatouille Adventure,Soarin',Living with the Land,Spaceship Earth,Mission: SPACE,Frozen Ever After,Gran Fiesta Tour Starring The Three Caballeros,The Seas with Nemo & Friends
2026-05-31 03:09,,,,,,,,,,
2026-05-31 08:05,,,,,,,,,,
2026-05-31 10:07,50.0,90.0,35.0,55.0,5.0,20.0,25.0,45.0,5.0,10.0
2026-05-31 11:37,90.0,95.0,45.0,55.0,25.0,,20.0,55.0,5.0,25.0
2026-05-31 12:43,85.0,70.0,40.0,75.0,20.0,,15.0,70.0,5.0,40.0
2026-05-31 13:44,,115.0,80.0,60.0,25.0,,15.0,70.0,5.0,15.0
2026-05-31 14:50,65.0,90.0,65.0,65.0,25.0,,15.0,60.0,15.0,20.0
2026-05-31 15:57,105.0,95.0,55.0,85.0,20.0,,15.0,65.0,20.0,15.0
2026-05-31 16:53,105.0,95.0,45.0,35.0,5.0,25.0,15.0,60.0,15.0,10.0
2026-05-31 17:44,105.0,85.0,60.0,40.0,10.0,20.0,15.0,50.0,5.0,5.0
2026-05-31 18:40,55.0,75.0,55.0,55.0,10.0,20.0,15.0,55.0,5.0,5.0
2026-05-31 19:43,85.0,95.0,45.0,35.0,10.0,20.0,15.0,55.0,5.0,
2026-05-31 22:00,,,,,,,,,,
2026-05-31 23:39,,,,,,,,,,
