,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster,Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-05-31 03:09,,,,,,,,
2026-05-31 08:05,,,,,,,,
2026-05-31 10:07,,,55.0,45.0,,,45.0,25.0
2026-05-31 11:37,,,120.0,35.0,80.0,55.0,45.0,30.0
2026-05-31 12:43,,,45.0,45.0,95.0,55.0,55.0,20.0
2026-05-31 13:44,80.0,,105.0,60.0,110.0,45.0,40.0,5.0
2026-05-31 14:50,85.0,,45.0,60.0,55.0,40.0,45.0,10.0
2026-05-31 15:57,80.0,,40.0,25.0,85.0,50.0,50.0,10.0
2026-05-31 16:53,65.0,,40.0,45.0,65.0,45.0,25.0,10.0
2026-05-31 17:44,60.0,,50.0,15.0,65.0,40.0,40.0,10.0
2026-05-31 18:40,,,45.0,45.0,70.0,40.0,35.0,5.0
2026-05-31 19:43,65.0,,35.0,25.0,85.0,45.0,30.0,5.0
