,Soarin',Living with the Land,Test Track,Guardians of the Galaxy: Cosmic Rewind,Mission: SPACE,The Seas with Nemo & Friends,Spaceship Earth,Remy's Ratatouille Adventure,Gran Fiesta Tour Starring The Three Caballeros,Frozen Ever After
Morning,10,5,70,85,15,5,5,40,5,0
Late Morning,30,20,100,95,15,15,20,45,5,50
Noon,40,15,80,90,15,13,15,50,10,65
Afternoon,45,20,95,100,20,13,15,80,15,70
Evening,40,15,105,110,15,10,20,65,13,60
Night,40,5,110,110,15,5,10,65,10,55
