,TRON Lightcycle / Run,Jungle Cruise,Seven Dwarfs Mine Train,The Magic Carpets of Aladdin,Mad Tea Party,The Many Adventures of Winnie the Pooh,The Barnstormer,Haunted Mansion,Tiana's Bayou Adventure,Space Mountain,Peter Pan's Flight,Mickey's PhilharMagic,Tomorrowland Speedway,Pirates of the Caribbean,Dumbo the Flying Elephant,Under the Sea - Journey of The Little Mermaid,Monsters Inc. Laugh Floor,Big Thunder Mountain Railroad,it's a small world,Buzz Lightyear's Space Ranger Spin
Morning,85,25,40,5,5,30,10,13,5,25,55,15,10,5,10,5,10,0,0,0
Late Morning,80,35,60,15,15,35,15,25,30,55,45,10,20,20,20,10,10,0,0,0
Noon,70,40,65,15,15,40,20,30,45,50,45,10,20,25,20,20,10,0,0,0
Afternoon,80,45,65,15,15,45,25,30,60,55,50,10,15,25,25,30,10,0,0,0
Evening,85,45,65,20,15,45,25,30,60,50,50,10,15,25,20,25,10,0,0,0
Night,90,25,55,10,10,35,15,20,30,45,40,10,10,15,10,15,10,0,0,0
