,Test Track,Guardians of the Galaxy: Cosmic Rewind,Remy's Ratatouille Adventure,Soarin',Living with the Land,Spaceship Earth,Mission: SPACE,Frozen Ever After,Gran Fiesta Tour Starring The Three Caballeros,The Seas with Nemo & Friends
2026-05-03 01:44,,,,,,,,,,
2026-05-03 03:32,,,,,,,,,,
2026-05-03 07:34,,,,,,,,,,
2026-05-03 08:09,,,,,,,,,,
2026-05-03 09:45,80.0,90.0,35.0,5.0,5.0,15.0,10.0,40.0,5.0,5.0
2026-05-03 10:34,65.0,75.0,55.0,25.0,20.0,20.0,20.0,,5.0,15.0
2026-05-03 11:24,85.0,90.0,40.0,70.0,35.0,25.0,35.0,60.0,5.0,35.0
2026-05-03 12:05,105.0,105.0,60.0,25.0,15.0,25.0,35.0,60.0,5.0,35.0
2026-05-03 13:02,85.0,95.0,55.0,45.0,,25.0,25.0,50.0,15.0,35.0
2026-05-03 13:53,70.0,85.0,60.0,40.0,,25.0,15.0,70.0,10.0,30.0
2026-05-03 14:37,80.0,85.0,65.0,40.0,25.0,20.0,15.0,75.0,20.0,25.0
2026-05-03 15:38,105.0,120.0,65.0,65.0,25.0,,15.0,75.0,20.0,30.0
2026-05-03 16:22,70.0,120.0,75.0,65.0,40.0,,15.0,70.0,10.0,25.0
2026-05-03 17:05,90.0,110.0,70.0,45.0,25.0,,15.0,65.0,10.0,5.0
2026-05-03 17:55,90.0,105.0,55.0,40.0,,15.0,15.0,65.0,5.0,5.0
2026-05-03 18:31,90.0,105.0,70.0,45.0,20.0,20.0,20.0,50.0,15.0,10.0
