,TRON Lightcycle / Run,Seven Dwarfs Mine Train,Jungle Cruise,Tiana's Bayou Adventure,Peter Pan's Flight,Big Thunder Mountain Railroad,Space Mountain,The Barnstormer,Dumbo the Flying Elephant,Haunted Mansion,it's a small world,The Magic Carpets of Aladdin,Mad Tea Party,Mickey's PhilharMagic,The Many Adventures of Winnie the Pooh,Pirates of the Caribbean,Tomorrowland Speedway,Under the Sea - Journey of The Little Mermaid,Monsters Inc. Laugh Floor,Buzz Lightyear's Space Ranger Spin
2026-05-03 01:44,,,,,,,,,,,,,,,,,,,,
2026-05-03 03:32,,,,,,,,,,,,,,,,,,,,
2026-05-03 07:34,,,,,,,,,,,,,,,,,,,,
2026-05-03 08:09,,,,,,,,,,,,,,,,,,,,
2026-05-03 09:45,80.0,50.0,50.0,10.0,50.0,145.0,35.0,10.0,10.0,,5.0,15.0,15.0,15.0,35.0,10.0,15.0,10.0,10.0,
2026-05-03 10:34,80.0,60.0,45.0,25.0,50.0,75.0,45.0,25.0,30.0,,20.0,15.0,15.0,10.0,50.0,25.0,20.0,15.0,10.0,
2026-05-03 11:24,85.0,55.0,35.0,35.0,45.0,65.0,50.0,20.0,20.0,,25.0,30.0,25.0,15.0,55.0,35.0,15.0,25.0,10.0,
2026-05-03 12:05,85.0,55.0,45.0,50.0,45.0,80.0,50.0,30.0,25.0,,15.0,30.0,15.0,10.0,45.0,35.0,15.0,25.0,10.0,
2026-05-03 13:02,70.0,55.0,70.0,50.0,50.0,70.0,45.0,20.0,30.0,,20.0,20.0,20.0,10.0,,35.0,15.0,25.0,10.0,
2026-05-03 13:53,70.0,60.0,50.0,45.0,45.0,75.0,45.0,20.0,25.0,,35.0,25.0,15.0,10.0,60.0,30.0,10.0,35.0,10.0,
2026-05-03 14:37,80.0,55.0,55.0,65.0,45.0,,45.0,20.0,25.0,,15.0,30.0,15.0,10.0,40.0,35.0,15.0,5.0,10.0,
