,Expedition Everest,Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-05-03 01:44,,,,,
2026-05-03 03:32,,,,,
2026-05-03 07:34,,30.0,10.0,,
2026-05-03 08:09,,55.0,15.0,15.0,
2026-05-03 09:45,45.0,90.0,55.0,55.0,
2026-05-03 10:34,45.0,120.0,55.0,65.0,5.0
2026-05-03 11:24,70.0,85.0,65.0,75.0,10.0
2026-05-03 12:05,95.0,90.0,60.0,70.0,25.0
2026-05-03 13:02,70.0,105.0,80.0,55.0,35.0
2026-05-03 13:53,50.0,85.0,75.0,70.0,35.0
2026-05-03 14:37,55.0,80.0,75.0,45.0,40.0
2026-05-03 15:38,45.0,70.0,50.0,25.0,45.0
2026-05-03 16:22,30.0,70.0,55.0,20.0,50.0
2026-05-03 17:05,55.0,65.0,70.0,40.0,30.0
2026-05-03 17:55,20.0,65.0,65.0,10.0,20.0
