,Test Track,Guardians of the Galaxy: Cosmic Rewind,Remy's Ratatouille Adventure,Soarin',Living with the Land,Spaceship Earth,Mission: SPACE,Frozen Ever After,Gran Fiesta Tour Starring The Three Caballeros,The Seas with Nemo & Friends
2026-07-31 01:49,,,,,,,,,,
2026-07-31 04:22,,,,,,,,,,
2026-07-31 08:49,65.0,60.0,,5.0,,5.0,,35.0,,5.0
2026-07-31 11:10,70.0,75.0,45.0,35.0,25.0,25.0,20.0,45.0,5.0,
2026-07-31 12:54,,80.0,50.0,40.0,25.0,20.0,25.0,,5.0,5.0
2026-07-31 14:13,80.0,70.0,55.0,55.0,5.0,15.0,25.0,,10.0,20.0
2026-07-31 15:51,75.0,80.0,,50.0,10.0,5.0,15.0,,5.0,15.0
2026-07-31 16:47,90.0,90.0,80.0,25.0,10.0,,20.0,,5.0,15.0
2026-07-31 17:48,75.0,65.0,75.0,50.0,5.0,5.0,15.0,60.0,5.0,10.0
2026-07-31 18:43,60.0,90.0,45.0,30.0,5.0,10.0,15.0,75.0,15.0,5.0
