,Expedition Everest,Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-07-31 01:49,,,,,
2026-07-31 04:22,,,,,
2026-07-31 08:49,15.0,60.0,25.0,30.0,
2026-07-31 11:10,30.0,75.0,55.0,45.0,25.0
2026-07-31 12:54,,95.0,35.0,20.0,
2026-07-31 14:13,30.0,65.0,35.0,25.0,80.0
2026-07-31 15:51,35.0,55.0,35.0,10.0,85.0
2026-07-31 16:47,30.0,45.0,40.0,10.0,30.0
2026-07-31 17:48,20.0,50.0,30.0,10.0,60.0
2026-07-31 18:43,10.0,60.0,15.0,10.0,10.0
2026-07-31 19:41,,,,,
2026-07-31 21:12,,,,,
