,TRON Lightcycle / Run,Seven Dwarfs Mine Train,Jungle Cruise,Tiana's Bayou Adventure,Peter Pan's Flight,Big Thunder Mountain Railroad,Space Mountain,The Barnstormer,Dumbo the Flying Elephant,Haunted Mansion,it's a small world,The Magic Carpets of Aladdin,Mad Tea Party,Mickey's PhilharMagic,The Many Adventures of Winnie the Pooh,Pirates of the Caribbean,Tomorrowland Speedway,Under the Sea - Journey of The Little Mermaid,Monsters Inc. Laugh Floor,Buzz Lightyear's Space Ranger Spin
2026-07-31 01:49,,,,,,,,,,,,,,,,,,,,
2026-07-31 04:22,,,,,,,,,,,,,,,,,,,,
2026-07-31 08:49,,45.0,,,,,35.0,5.0,5.0,,5.0,,5.0,,25.0,,5.0,5.0,,
2026-07-31 11:10,55.0,40.0,40.0,35.0,35.0,30.0,30.0,15.0,10.0,15.0,10.0,15.0,5.0,15.0,30.0,15.0,15.0,5.0,,
2026-07-31 12:54,60.0,50.0,60.0,,50.0,,40.0,,5.0,,10.0,,15.0,10.0,,15.0,,10.0,,
2026-07-31 14:13,65.0,65.0,45.0,55.0,60.0,,50.0,20.0,10.0,,20.0,15.0,10.0,10.0,,25.0,25.0,20.0,,
2026-07-31 15:51,75.0,60.0,35.0,60.0,35.0,50.0,45.0,10.0,10.0,40.0,15.0,5.0,10.0,10.0,35.0,15.0,10.0,5.0,,
2026-07-31 16:47,55.0,50.0,35.0,50.0,45.0,25.0,45.0,10.0,10.0,35.0,10.0,15.0,10.0,15.0,40.0,25.0,5.0,25.0,,
2026-07-31 17:48,70.0,60.0,35.0,55.0,40.0,25.0,30.0,25.0,5.0,25.0,10.0,10.0,5.0,10.0,45.0,25.0,10.0,10.0,,
2026-07-31 18:43,60.0,50.0,35.0,60.0,50.0,40.0,35.0,15.0,15.0,35.0,5.0,15.0,10.0,10.0,35.0,20.0,15.0,20.0,,
2026-07-31 19:41,70.0,60.0,35.0,40.0,40.0,45.0,45.0,25.0,20.0,30.0,5.0,15.0,15.0,10.0,35.0,20.0,25.0,10.0,,
