,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster,Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-07-31 01:49,,,,,,,,
2026-07-31 04:22,,,,,,,,
2026-07-31 08:49,25.0,,13.0,15.0,45.0,15.0,15.0,5.0
2026-07-31 11:10,60.0,,40.0,40.0,60.0,50.0,,5.0
2026-07-31 12:54,60.0,,40.0,55.0,,35.0,40.0,15.0
2026-07-31 14:13,45.0,,40.0,25.0,65.0,45.0,90.0,10.0
2026-07-31 15:51,45.0,,25.0,30.0,70.0,40.0,45.0,10.0
2026-07-31 16:47,50.0,,35.0,40.0,70.0,40.0,60.0,5.0
2026-07-31 17:48,45.0,,45.0,30.0,60.0,35.0,50.0,5.0
2026-07-31 18:43,45.0,,45.0,30.0,60.0,30.0,45.0,5.0
2026-07-31 19:41,40.0,,55.0,25.0,60.0,30.0,50.0,5.0
2026-07-31 21:12,20.0,,25.0,15.0,40.0,20.0,20.0,5.0
2026-07-31 22:26,,,,,,,,
