,Expedition Everest,Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-08-18 00:36,,,,,
2026-08-18 01:05,,,,,
2026-08-18 01:40,,,,,
2026-08-18 02:00,,,,,
2026-08-18 02:56,,,,,
2026-08-18 07:15,,,,,
2026-08-18 07:41,5.0,45.0,5.0,,
2026-08-18 07:58,5.0,55.0,5.0,,
2026-08-18 08:41,5.0,50.0,30.0,40.0,
2026-08-18 09:27,15.0,55.0,35.0,45.0,5.0
2026-08-18 10:04,25.0,55.0,45.0,80.0,25.0
2026-08-18 10:43,25.0,65.0,60.0,95.0,40.0
2026-08-18 11:11,20.0,65.0,55.0,50.0,50.0
2026-08-18 11:44,40.0,65.0,45.0,50.0,40.0
2026-08-18 12:02,30.0,55.0,45.0,55.0,30.0
2026-08-18 12:39,30.0,55.0,60.0,50.0,35.0
2026-08-18 13:01,30.0,55.0,60.0,25.0,75.0
2026-08-18 13:32,20.0,45.0,55.0,10.0,45.0
2026-08-18 13:56,30.0,40.0,60.0,15.0,55.0
2026-08-18 14:24,20.0,45.0,40.0,10.0,55.0
2026-08-18 15:03,15.0,65.0,45.0,10.0,35.0
2026-08-18 15:33,15.0,55.0,40.0,5.0,45.0
2026-08-18 15:51,,55.0,35.0,5.0,55.0
2026-08-18 16:01,30.0,40.0,40.0,5.0,55.0
2026-08-18 16:30,10.0,50.0,40.0,5.0,45.0
2026-08-18 16:50,15.0,45.0,40.0,5.0,40.0
2026-08-18 17:09,30.0,45.0,45.0,5.0,40.0
2026-08-18 17:35,10.0,35.0,45.0,10.0,40.0
2026-08-18 17:51,10.0,40.0,40.0,10.0,30.0
2026-08-18 18:01,10.0,35.0,30.0,5.0,30.0
2026-08-18 18:29,5.0,40.0,15.0,5.0,30.0
2026-08-18 18:51,5.0,40.0,10.0,5.0,5.0
2026-08-18 19:08,,,,,
2026-08-18 19:32,,,,,
2026-08-18 19:50,,,,,
2026-08-18 20:01,,,,,
2026-08-18 20:59,,,,,
