,TRON Lightcycle / Run,Seven Dwarfs Mine Train,Jungle Cruise,Tiana's Bayou Adventure,Peter Pan's Flight,Big Thunder Mountain Railroad,Space Mountain,The Barnstormer,Dumbo the Flying Elephant,Haunted Mansion,it's a small world,The Magic Carpets of Aladdin,Mad Tea Party,Mickey's PhilharMagic,The Many Adventures of Winnie the Pooh,Pirates of the Caribbean,Tomorrowland Speedway,Under the Sea - Journey of The Little Mermaid,Monsters Inc. Laugh Floor,Buzz Lightyear's Space Ranger Spin
2026-07-18 01:03,,,,,,,,,,,,,,,,,,,,
2026-07-18 03:04,,,,,,,,,,,,,,,,,,,,
2026-07-18 07:43,,,,,,,,,,,,,,,,,,,,
2026-07-18 08:37,,40.0,,,,,,5.0,5.0,,5.0,,5.0,,15.0,,5.0,5.0,,
2026-07-18 10:03,60.0,30.0,20.0,5.0,35.0,25.0,25.0,5.0,5.0,13.0,5.0,5.0,5.0,15.0,15.0,5.0,5.0,10.0,,
2026-07-18 11:04,60.0,50.0,45.0,,35.0,35.0,30.0,5.0,5.0,30.0,10.0,15.0,5.0,10.0,20.0,35.0,5.0,10.0,,
2026-07-18 12:04,70.0,55.0,45.0,,35.0,45.0,60.0,15.0,5.0,25.0,20.0,25.0,5.0,15.0,25.0,,10.0,5.0,,
2026-07-18 13:07,50.0,50.0,35.0,50.0,40.0,35.0,40.0,30.0,10.0,20.0,20.0,5.0,10.0,15.0,30.0,25.0,5.0,5.0,,
2026-07-18 14:03,65.0,,,,45.0,,40.0,,,25.0,10.0,,15.0,15.0,35.0,30.0,,20.0,,
2026-07-18 15:16,55.0,65.0,25.0,60.0,40.0,35.0,30.0,10.0,5.0,15.0,10.0,5.0,5.0,15.0,20.0,15.0,5.0,5.0,,
2026-07-18 16:08,65.0,50.0,40.0,85.0,45.0,40.0,40.0,20.0,5.0,25.0,10.0,15.0,,15.0,15.0,15.0,5.0,5.0,,
2026-07-18 17:01,65.0,55.0,40.0,55.0,45.0,40.0,25.0,15.0,5.0,20.0,5.0,5.0,15.0,10.0,35.0,30.0,15.0,20.0,,
2026-07-18 17:55,50.0,50.0,35.0,55.0,40.0,40.0,25.0,15.0,15.0,20.0,15.0,5.0,10.0,15.0,30.0,15.0,5.0,25.0,,
