,Expedition Everest,Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-07-18 01:03,,,,,
2026-07-18 03:04,,,,,
2026-07-18 07:43,5.0,35.0,10.0,,
2026-07-18 08:37,5.0,80.0,25.0,15.0,
2026-07-18 10:03,30.0,60.0,40.0,50.0,20.0
2026-07-18 11:04,40.0,70.0,50.0,50.0,35.0
2026-07-18 12:04,55.0,65.0,50.0,45.0,40.0
2026-07-18 13:07,40.0,55.0,40.0,30.0,45.0
2026-07-18 14:03,,60.0,60.0,15.0,
2026-07-18 15:16,35.0,45.0,50.0,25.0,30.0
2026-07-18 16:08,35.0,40.0,45.0,10.0,20.0
2026-07-18 17:01,40.0,40.0,60.0,10.0,35.0
2026-07-18 17:55,20.0,60.0,35.0,25.0,45.0
2026-07-18 18:39,15.0,45.0,20.0,10.0,20.0
2026-07-18 19:33,,,,,
2026-07-18 21:04,,,,,
