,Test Track,Guardians of the Galaxy: Cosmic Rewind,Remy's Ratatouille Adventure,Soarin',Living with the Land,Spaceship Earth,Mission: SPACE,Frozen Ever After,Gran Fiesta Tour Starring The Three Caballeros,The Seas with Nemo & Friends
2026-04-13 01:26,,,,,,,,,,
2026-04-13 03:25,,,,,,,,,,
2026-04-13 07:58,,,,,,,,,,
2026-04-13 09:25,70.0,60.0,45.0,10.0,5.0,5.0,15.0,55.0,5.0,5.0
2026-04-13 10:58,75.0,65.0,55.0,30.0,25.0,25.0,15.0,50.0,5.0,35.0
2026-04-13 12:12,75.0,55.0,50.0,30.0,15.0,25.0,15.0,60.0,5.0,15.0
2026-04-13 13:19,45.0,65.0,,35.0,20.0,20.0,15.0,60.0,15.0,25.0
2026-04-13 14:18,80.0,65.0,35.0,30.0,30.0,20.0,25.0,75.0,15.0,10.0
2026-04-13 15:41,80.0,75.0,65.0,35.0,25.0,25.0,15.0,70.0,15.0,10.0
2026-04-13 16:35,50.0,85.0,85.0,30.0,20.0,15.0,15.0,60.0,10.0,10.0
