,Expedition Everest - Legend of the Forbidden Mountain,Avatar Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-04-10 01:07,,,,,
2026-04-10 02:59,,,,,
2026-04-10 07:39,,30.0,10.0,,
2026-04-10 08:32,10.0,95.0,25.0,20.0,
2026-04-10 09:56,30.0,95.0,55.0,70.0,
2026-04-10 10:43,40.0,95.0,55.0,60.0,25.0
2026-04-10 11:33,50.0,95.0,60.0,70.0,50.0
2026-04-10 12:30,55.0,75.0,55.0,65.0,50.0
2026-04-10 13:26,45.0,95.0,55.0,60.0,120.0
2026-04-10 14:06,35.0,105.0,65.0,85.0,45.0
2026-04-10 15:08,35.0,85.0,45.0,55.0,75.0
2026-04-10 15:51,40.0,65.0,60.0,30.0,75.0
2026-04-10 16:20,50.0,85.0,50.0,20.0,75.0
