,TRON Lightcycle / Run,Seven Dwarfs Mine Train,Jungle Cruise,Tiana's Bayou Adventure,Peter Pan's Flight,Big Thunder Mountain Railroad,Space Mountain,The Barnstormer,Dumbo the Flying Elephant,Haunted Mansion,it's a small world,The Magic Carpets of Aladdin,Mad Tea Party,Mickey's PhilharMagic,The Many Adventures of Winnie the Pooh,Pirates of the Caribbean,Tomorrowland Speedway,Under the Sea - Journey of The Little Mermaid,Monsters Inc. Laugh Floor,Buzz Lightyear's Space Ranger Spin
2026-04-10 01:07,,,,,,,,,,,,,,,,,,,,
2026-04-10 02:59,,,,,,,,,,,,,,,,,,,,
2026-04-10 07:39,,,,,,,,,,,,,,,,,,,,
2026-04-10 08:32,,50.0,,,,,,5.0,5.0,,,,5.0,,35.0,,,5.0,,
2026-04-10 09:56,105.0,75.0,,,45.0,,45.0,10.0,25.0,13.0,,20.0,15.0,10.0,55.0,25.0,20.0,5.0,10.0,
2026-04-10 10:43,115.0,75.0,45.0,,50.0,,75.0,35.0,25.0,45.0,,30.0,20.0,10.0,50.0,35.0,20.0,20.0,10.0,
2026-04-10 11:33,105.0,75.0,60.0,,60.0,,85.0,40.0,45.0,35.0,,45.0,20.0,10.0,50.0,50.0,35.0,40.0,20.0,
2026-04-10 12:30,95.0,95.0,75.0,90.0,55.0,,70.0,40.0,45.0,55.0,,40.0,55.0,10.0,45.0,50.0,35.0,35.0,20.0,
2026-04-10 13:26,90.0,85.0,75.0,90.0,70.0,,65.0,40.0,45.0,35.0,,40.0,25.0,10.0,40.0,40.0,40.0,50.0,20.0,
2026-04-10 14:06,105.0,85.0,90.0,95.0,55.0,,75.0,45.0,35.0,35.0,,30.0,35.0,10.0,45.0,40.0,30.0,40.0,20.0,
2026-04-10 15:08,85.0,75.0,50.0,,,,50.0,45.0,55.0,30.0,,20.0,25.0,10.0,35.0,40.0,35.0,25.0,10.0,
2026-04-10 15:51,95.0,95.0,80.0,,65.0,,70.0,35.0,40.0,,,40.0,65.0,15.0,60.0,45.0,30.0,40.0,15.0,
