,Test Track,Guardians of the Galaxy: Cosmic Rewind,Remy's Ratatouille Adventure,Soarin',Living with the Land,Spaceship Earth,Mission: SPACE,Frozen Ever After,Gran Fiesta Tour Starring The Three Caballeros,The Seas with Nemo & Friends
2026-04-10 01:07,30.0,,,,,,,,,
2026-04-10 02:59,,,,,,,,,,
2026-04-10 07:39,,,,,,,,,,
2026-04-10 08:32,,60.0,50.0,,5.0,5.0,15.0,20.0,,5.0
2026-04-10 09:56,60.0,110.0,60.0,45.0,5.0,30.0,15.0,55.0,5.0,10.0
2026-04-10 10:43,95.0,90.0,60.0,30.0,25.0,35.0,15.0,55.0,5.0,35.0
2026-04-10 11:33,90.0,125.0,55.0,45.0,15.0,35.0,30.0,50.0,10.0,25.0
2026-04-10 12:30,120.0,115.0,50.0,35.0,20.0,30.0,20.0,70.0,15.0,35.0
2026-04-10 13:26,80.0,90.0,70.0,60.0,25.0,20.0,15.0,65.0,15.0,35.0
2026-04-10 14:06,90.0,110.0,70.0,35.0,10.0,20.0,15.0,75.0,15.0,35.0
2026-04-10 15:08,80.0,120.0,70.0,40.0,20.0,40.0,15.0,85.0,15.0,25.0
2026-04-10 15:51,85.0,115.0,70.0,30.0,15.0,25.0,15.0,60.0,15.0,10.0
2026-04-10 16:20,,120.0,70.0,30.0,5.0,25.0,15.0,55.0,10.0,15.0
2026-04-10 16:58,110.0,110.0,65.0,35.0,15.0,25.0,25.0,70.0,20.0,15.0
2026-04-10 17:36,110.0,95.0,75.0,45.0,5.0,25.0,30.0,75.0,15.0,15.0
2026-04-10 18:05,135.0,135.0,85.0,25.0,10.0,25.0,20.0,75.0,10.0,5.0
2026-04-10 18:51,135.0,145.0,75.0,30.0,5.0,25.0,25.0,70.0,10.0,5.0
2026-04-10 19:22,110.0,115.0,45.0,20.0,5.0,25.0,50.0,50.0,10.0,5.0
2026-04-10 19:54,90.0,85.0,45.0,20.0,5.0,20.0,30.0,55.0,5.0,5.0
2026-04-10 21:09,,,,,,,,,,
