,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster Starring Aerosmith,The Twilight Zone Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-04-10 01:07,,,,,,,,
2026-04-10 02:59,,,,,,,,
2026-04-10 07:39,,,,,,,,
2026-04-10 08:32,30.0,,,20.0,120.0,25.0,25.0,5.0
2026-04-10 09:56,80.0,,,40.0,90.0,65.0,60.0,25.0
2026-04-10 10:43,80.0,,,65.0,90.0,55.0,60.0,15.0
2026-04-10 11:33,75.0,,,60.0,120.0,55.0,50.0,25.0
2026-04-10 12:30,75.0,,,50.0,120.0,60.0,75.0,15.0
2026-04-10 13:26,80.0,,,25.0,110.0,65.0,40.0,10.0
2026-04-10 14:06,60.0,,,70.0,110.0,55.0,55.0,20.0
2026-04-10 15:08,65.0,,,50.0,110.0,40.0,45.0,5.0
2026-04-10 15:51,60.0,,,25.0,90.0,65.0,40.0,5.0
2026-04-10 16:20,50.0,,,50.0,80.0,50.0,60.0,5.0
2026-04-10 16:58,45.0,,,70.0,80.0,50.0,40.0,5.0
2026-04-10 17:36,65.0,,,30.0,90.0,45.0,50.0,10.0
2026-04-10 18:05,60.0,,,35.0,100.0,50.0,50.0,10.0
2026-04-10 18:51,75.0,,,35.0,70.0,60.0,50.0,5.0
