,Expedition Everest,Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-08-05 01:22,,,,,
2026-08-05 03:59,,,,,
2026-08-05 08:46,5.0,55.0,25.0,20.0,
2026-08-05 11:01,40.0,95.0,45.0,55.0,25.0
2026-08-05 12:45,40.0,70.0,40.0,75.0,45.0
2026-08-05 14:10,30.0,60.0,50.0,40.0,45.0
2026-08-05 15:51,20.0,50.0,35.0,15.0,45.0
2026-08-05 16:48,15.0,50.0,50.0,10.0,30.0
2026-08-05 17:58,15.0,50.0,30.0,5.0,45.0
2026-08-05 18:56,5.0,40.0,,5.0,5.0
2026-08-05 19:51,,,,,
2026-08-05 21:08,,,,,
2026-08-05 22:09,,,,,
