,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster,Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-05-01 01:56,,,,,,,,
2026-05-01 04:11,,,,,,,,
2026-05-01 07:50,,,,,,,,
2026-05-01 08:44,30.0,,13.0,10.0,35.0,35.0,5.0,5.0
2026-05-01 10:06,,,20.0,45.0,55.0,55.0,30.0,5.0
2026-05-01 11:10,,,50.0,35.0,75.0,45.0,40.0,5.0
2026-05-01 12:07,115.0,,40.0,50.0,75.0,55.0,55.0,5.0
2026-05-01 13:10,70.0,,50.0,30.0,60.0,50.0,35.0,5.0
2026-05-01 14:09,80.0,,35.0,35.0,70.0,,40.0,5.0
2026-05-01 15:35,55.0,,35.0,35.0,65.0,45.0,35.0,5.0
