,Test Track,Guardians of the Galaxy: Cosmic Rewind,Remy's Ratatouille Adventure,Soarin',Living with the Land,Spaceship Earth,Mission: SPACE,Frozen Ever After,Gran Fiesta Tour Starring The Three Caballeros,The Seas with Nemo & Friends
2026-05-01 01:56,,,,,,,,,,
2026-05-01 04:11,,,,,,,,,,
2026-05-01 07:50,,,,,,,,,,
2026-05-01 08:44,20.0,40.0,40.0,5.0,,5.0,10.0,25.0,,5.0
2026-05-01 10:06,75.0,70.0,30.0,5.0,5.0,10.0,20.0,50.0,5.0,5.0
2026-05-01 11:10,85.0,75.0,40.0,40.0,25.0,25.0,30.0,45.0,5.0,25.0
2026-05-01 12:07,75.0,70.0,55.0,35.0,10.0,20.0,40.0,45.0,5.0,35.0
2026-05-01 13:10,70.0,75.0,35.0,35.0,15.0,15.0,35.0,65.0,5.0,25.0
2026-05-01 14:09,95.0,75.0,65.0,40.0,10.0,10.0,35.0,55.0,5.0,10.0
2026-05-01 15:35,55.0,90.0,60.0,35.0,10.0,15.0,15.0,60.0,10.0,5.0
2026-05-01 16:29,80.0,85.0,45.0,35.0,10.0,5.0,15.0,,15.0,15.0
2026-05-01 17:25,75.0,80.0,60.0,30.0,5.0,5.0,15.0,,15.0,10.0
