,Expedition Everest,Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-05-01 01:56,,,,,
2026-05-01 04:11,,,,,
2026-05-01 07:50,,45.0,10.0,,
2026-05-01 08:44,,60.0,30.0,25.0,
2026-05-01 10:06,,70.0,45.0,40.0,5.0
2026-05-01 11:10,,80.0,65.0,45.0,25.0
2026-05-01 12:07,,70.0,70.0,35.0,40.0
2026-05-01 13:10,,70.0,70.0,10.0,60.0
2026-05-01 14:09,55.0,80.0,50.0,15.0,55.0
2026-05-01 15:35,45.0,45.0,55.0,5.0,45.0
2026-05-01 16:29,35.0,40.0,45.0,5.0,25.0
2026-05-01 17:25,30.0,30.0,45.0,15.0,30.0
