,Morning (05-10),Late Morning (10-12),Noon (12-14),Afternoon (14-16),Late Afternoon (16-18),Evening (18-20),Night (20-24)
Expedition Everest - Legend of the Forbidden Mountain,,,,55.0,45.0,30.0,
Kilimanjaro Safaris,,,,50.0,15.0,15.0,
Kali River Rapids,,,,40.0,25.0,35.0,
Avatar Flight of Passage,,,,80.0,80.0,65.0,
Na'vi River Journey,,,,55.0,50.0,45.0,
