Ride,Closed Down,5-15,20-30,35-45,50-60,65-75,80-90,95-105,110-120,125-135,140-150,155-165,170-180,185-195,200-210
Kali River Rapids,32.0,16.0,20.0,16.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avatar Flight of Passage,16.0,0.0,4.0,0.0,20.0,28.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Expedition Everest - Legend of the Forbidden Mountain,16.0,16.0,8.0,20.0,32.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kilimanjaro Safaris,24.0,16.0,8.0,32.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Na'vi River Journey,16.0,8.0,8.0,20.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
