Ride,Closed Down,5-15,20-30,35-45,50-60,65-75,80-90,95-105,110-120,125-135,140-150,155-165,170-180,185-195,200-210
Expedition Everest - Legend of the Forbidden Mountain,0.0,0.0,14.3,21.4,57.1,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kilimanjaro Safaris,14.3,35.7,14.3,0.0,35.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kali River Rapids,0.0,0.0,42.9,57.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avatar Flight of Passage,0.0,0.0,0.0,0.0,0.0,50.0,35.7,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Na'vi River Journey,0.0,0.0,0.0,35.7,64.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
