,Test Track,Guardians of the Galaxy: Cosmic Rewind,Remy's Ratatouille Adventure,Soarin',Living with the Land,Spaceship Earth,Mission: SPACE,Frozen Ever After,Gran Fiesta Tour Starring The Three Caballeros,The Seas with Nemo & Friends
2026-06-29 04:33,,,,,,,,,,
2026-06-29 10:41,55.0,60.0,45.0,40.0,25.0,20.0,35.0,,5.0,20.0
2026-06-29 13:18,,80.0,55.0,80.0,20.0,20.0,20.0,60.0,5.0,20.0
2026-06-29 15:16,,70.0,50.0,45.0,15.0,5.0,20.0,50.0,5.0,5.0
2026-06-29 16:57,80.0,75.0,55.0,55.0,10.0,10.0,15.0,,5.0,5.0
2026-06-29 18:06,,110.0,80.0,65.0,20.0,5.0,15.0,45.0,10.0,5.0
2026-06-29 19:12,,80.0,40.0,120.0,20.0,5.0,15.0,75.0,5.0,
