,Expedition Everest,Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-08-09 00:35,,,,,
2026-08-09 01:30,,,,,
2026-08-09 02:10,,,,,
2026-08-09 03:14,,,,,
2026-08-09 07:19,,,,,
2026-08-09 07:48,5.0,50.0,10.0,,
2026-08-09 08:17,5.0,75.0,25.0,20.0,
2026-08-09 09:16,20.0,50.0,35.0,35.0,5.0
2026-08-09 10:00,30.0,75.0,55.0,50.0,15.0
2026-08-09 10:37,25.0,55.0,40.0,40.0,25.0
2026-08-09 11:04,30.0,55.0,35.0,40.0,50.0
2026-08-09 11:39,60.0,55.0,45.0,40.0,70.0
2026-08-09 12:01,,70.0,55.0,40.0,60.0
2026-08-09 12:44,25.0,50.0,50.0,40.0,60.0
2026-08-09 13:13,55.0,40.0,45.0,30.0,65.0
2026-08-09 13:46,50.0,45.0,40.0,15.0,60.0
2026-08-09 14:15,40.0,45.0,45.0,15.0,50.0
2026-08-09 15:01,35.0,65.0,45.0,10.0,
2026-08-09 15:37,25.0,50.0,40.0,10.0,
2026-08-09 16:01,20.0,45.0,35.0,10.0,
