,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster,Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-08-09 00:35,,,,,,,,
2026-08-09 01:30,,,,,,,,
2026-08-09 02:10,,,,,,,,
2026-08-09 03:14,,,,,,,,
2026-08-09 07:19,,,,,,,,
2026-08-09 07:48,,,,,,,,
2026-08-09 08:17,,,,,,,,
2026-08-09 09:16,30.0,,13.0,20.0,65.0,30.0,25.0,5.0
2026-08-09 10:00,45.0,,20.0,20.0,55.0,30.0,30.0,5.0
2026-08-09 10:37,60.0,,55.0,30.0,60.0,40.0,40.0,5.0
2026-08-09 11:04,50.0,,60.0,30.0,65.0,40.0,35.0,5.0
2026-08-09 11:39,50.0,,35.0,45.0,90.0,40.0,45.0,5.0
2026-08-09 12:01,50.0,,30.0,45.0,90.0,40.0,45.0,5.0
2026-08-09 12:44,50.0,,35.0,35.0,85.0,40.0,35.0,5.0
2026-08-09 13:13,35.0,,45.0,35.0,,35.0,35.0,5.0
2026-08-09 13:46,70.0,,45.0,30.0,30.0,40.0,30.0,5.0
2026-08-09 14:15,50.0,,20.0,35.0,80.0,35.0,40.0,5.0
2026-08-09 15:01,40.0,,40.0,30.0,50.0,45.0,95.0,5.0
2026-08-09 15:37,45.0,,30.0,30.0,50.0,30.0,,5.0
2026-08-09 16:01,50.0,,20.0,20.0,55.0,40.0,20.0,5.0
2026-08-09 16:37,30.0,,35.0,15.0,55.0,25.0,25.0,5.0
2026-08-09 17:05,30.0,,13.0,15.0,40.0,30.0,30.0,5.0
2026-08-09 17:42,35.0,,20.0,15.0,65.0,40.0,65.0,5.0
2026-08-09 18:03,45.0,,25.0,15.0,55.0,25.0,60.0,5.0
2026-08-09 18:40,25.0,,30.0,20.0,55.0,35.0,70.0,5.0
