,Test Track,Guardians of the Galaxy: Cosmic Rewind,Remy's Ratatouille Adventure,Soarin',Living with the Land,Spaceship Earth,Mission: SPACE,Frozen Ever After,Gran Fiesta Tour Starring The Three Caballeros,The Seas with Nemo & Friends
2026-05-13 02:13,,,,,,,,,,
2026-05-13 05:20,,,,,,,,,,
2026-05-13 09:06,70.0,95.0,55.0,10.0,,5.0,15.0,45.0,,5.0
2026-05-13 11:47,65.0,70.0,40.0,55.0,30.0,35.0,25.0,40.0,5.0,35.0
2026-05-13 13:51,65.0,65.0,55.0,55.0,25.0,25.0,15.0,65.0,15.0,10.0
2026-05-13 15:25,,80.0,80.0,35.0,25.0,20.0,15.0,70.0,15.0,25.0
2026-05-13 17:03,75.0,75.0,60.0,35.0,20.0,20.0,15.0,80.0,15.0,25.0
2026-05-13 18:20,60.0,75.0,80.0,25.0,15.0,15.0,15.0,70.0,10.0,10.0
2026-05-13 19:33,95.0,90.0,,55.0,10.0,5.0,15.0,65.0,15.0,5.0
2026-05-13 21:27,,,,,,,,,,
2026-05-13 22:47,,,,,,,,,,
