,TRON Lightcycle / Run,Seven Dwarfs Mine Train,Jungle Cruise,Tiana's Bayou Adventure,Peter Pan's Flight,Big Thunder Mountain Railroad,Space Mountain,The Barnstormer,Dumbo the Flying Elephant,Haunted Mansion,it's a small world,The Magic Carpets of Aladdin,Mad Tea Party,Mickey's PhilharMagic,The Many Adventures of Winnie the Pooh,Pirates of the Caribbean,Tomorrowland Speedway,Under the Sea - Journey of The Little Mermaid,Monsters Inc. Laugh Floor,Buzz Lightyear's Space Ranger Spin
2026-04-06 00:52,,,,,,,,,,,,,,,,,,,,
2026-04-06 02:23,,,,,,,,,,,,,,,,,,,,
2026-04-06 04:08,,,,,,,,,,,,,,,,,,,,
2026-04-06 07:40,,,,,,,,,,,,,,,,,,,,
2026-04-06 08:35,,45.0,,,50.0,,10.0,5.0,5.0,,,,5.0,,,,5.0,5.0,,
2026-04-06 09:53,75.0,70.0,55.0,50.0,45.0,,30.0,15.0,35.0,20.0,,25.0,10.0,10.0,40.0,,20.0,5.0,10.0,
2026-04-06 10:38,70.0,65.0,55.0,40.0,60.0,,50.0,20.0,50.0,35.0,,40.0,25.0,10.0,50.0,,25.0,30.0,10.0,30.0
2026-04-06 11:28,90.0,65.0,55.0,55.0,45.0,,55.0,45.0,45.0,40.0,,30.0,30.0,10.0,,50.0,25.0,30.0,25.0,30.0
2026-04-06 12:08,95.0,85.0,55.0,70.0,55.0,,50.0,30.0,45.0,40.0,,30.0,30.0,10.0,35.0,40.0,30.0,35.0,25.0,35.0
2026-04-06 13:03,90.0,80.0,55.0,70.0,55.0,,60.0,40.0,40.0,35.0,,30.0,30.0,15.0,30.0,45.0,40.0,65.0,15.0,40.0
2026-04-06 13:55,80.0,70.0,60.0,75.0,60.0,,55.0,30.0,25.0,45.0,,30.0,20.0,15.0,40.0,45.0,20.0,40.0,20.0,50.0
2026-04-06 14:44,80.0,75.0,45.0,65.0,50.0,,45.0,20.0,30.0,40.0,,30.0,30.0,15.0,40.0,35.0,30.0,35.0,15.0,35.0
2026-04-06 15:41,85.0,70.0,65.0,65.0,55.0,,35.0,45.0,15.0,30.0,,25.0,25.0,15.0,40.0,40.0,25.0,30.0,15.0,45.0
2026-04-06 16:21,75.0,70.0,70.0,60.0,55.0,,55.0,,25.0,35.0,,35.0,20.0,5.0,50.0,40.0,20.0,30.0,15.0,70.0
2026-04-06 16:58,80.0,70.0,65.0,45.0,70.0,,45.0,25.0,15.0,45.0,,35.0,20.0,10.0,45.0,35.0,40.0,25.0,15.0,35.0
2026-04-06 17:37,70.0,,,,65.0,,45.0,,,,,,10.0,15.0,65.0,25.0,,35.0,,40.0
2026-04-06 18:02,70.0,,30.0,20.0,55.0,,40.0,5.0,5.0,,,5.0,5.0,15.0,45.0,25.0,5.0,35.0,,45.0
2026-04-06 18:49,80.0,40.0,45.0,40.0,55.0,,40.0,5.0,5.0,,,5.0,5.0,10.0,45.0,25.0,15.0,5.0,15.0,15.0
2026-04-06 19:22,60.0,60.0,30.0,35.0,50.0,,30.0,5.0,5.0,,,5.0,15.0,10.0,40.0,10.0,15.0,5.0,15.0,25.0
2026-04-06 19:54,75.0,65.0,25.0,35.0,45.0,,30.0,10.0,5.0,,,5.0,5.0,10.0,40.0,10.0,5.0,10.0,15.0,40.0
2026-04-06 21:09,70.0,40.0,10.0,10.0,25.0,,25.0,5.0,10.0,13.0,,5.0,5.0,10.0,20.0,5.0,10.0,5.0,10.0,10.0
