,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster Starring Aerosmith,The Twilight Zone Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-04-06 00:52,,,,,,,,
2026-04-06 02:23,,,,,,,,
2026-04-06 04:08,,,,,,,,
2026-04-06 07:40,,,,,,,,
2026-04-06 08:35,45.0,,,115.0,160.0,60.0,5.0,5.0
2026-04-06 09:53,115.0,,,75.0,120.0,70.0,55.0,15.0
2026-04-06 10:38,105.0,,,90.0,110.0,75.0,50.0,45.0
2026-04-06 11:28,90.0,,,145.0,130.0,65.0,65.0,30.0
2026-04-06 12:08,105.0,,,135.0,130.0,70.0,70.0,55.0
