,Expedition Everest - Legend of the Forbidden Mountain,Avatar Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-04-06 00:52,,,,,
2026-04-06 02:23,,,,,
2026-04-06 04:08,,,,,
2026-04-06 07:40,5.0,45.0,10.0,,
2026-04-06 08:35,15.0,130.0,40.0,45.0,
2026-04-06 09:53,40.0,110.0,70.0,70.0,
2026-04-06 10:38,40.0,105.0,70.0,80.0,55.0
2026-04-06 11:28,,115.0,80.0,75.0,110.0
2026-04-06 12:08,,105.0,85.0,65.0,105.0
2026-04-06 13:03,,105.0,70.0,80.0,90.0
2026-04-06 13:55,15.0,95.0,65.0,80.0,95.0
2026-04-06 14:44,100.0,80.0,55.0,55.0,105.0
2026-04-06 15:41,85.0,65.0,55.0,35.0,40.0
2026-04-06 16:21,65.0,65.0,70.0,30.0,55.0
2026-04-06 16:58,40.0,75.0,55.0,25.0,55.0
2026-04-06 17:37,,90.0,75.0,15.0,
2026-04-06 18:02,50.0,70.0,65.0,5.0,
2026-04-06 18:49,15.0,50.0,35.0,5.0,
2026-04-06 19:22,,,,,
2026-04-06 19:54,,,,,
2026-04-06 21:09,,,,,
2026-04-06 22:03,,,,,
