,Expedition Everest,Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-08-19 00:01,,,,,
2026-08-19 00:45,,,,,
2026-08-19 01:14,,,,,
2026-08-19 01:48,,,,,
2026-08-19 02:17,,,,,
2026-08-19 03:09,,,,,
2026-08-19 07:14,,,,,
2026-08-19 07:40,5.0,50.0,5.0,,
2026-08-19 07:58,5.0,55.0,5.0,,
2026-08-19 08:41,5.0,50.0,20.0,25.0,
2026-08-19 09:28,10.0,40.0,30.0,35.0,5.0
2026-08-19 10:05,30.0,55.0,30.0,50.0,5.0
2026-08-19 10:45,20.0,55.0,35.0,40.0,25.0
2026-08-19 11:13,25.0,60.0,50.0,30.0,40.0
2026-08-19 11:45,30.0,50.0,40.0,25.0,50.0
2026-08-19 12:03,25.0,50.0,35.0,20.0,45.0
2026-08-19 12:39,25.0,50.0,35.0,10.0,15.0
2026-08-19 12:59,30.0,55.0,40.0,10.0,30.0
2026-08-19 13:27,20.0,60.0,40.0,10.0,55.0
2026-08-19 13:49,20.0,40.0,30.0,5.0,35.0
2026-08-19 14:02,20.0,40.0,35.0,5.0,35.0
2026-08-19 14:45,15.0,70.0,25.0,5.0,40.0
2026-08-19 15:11,15.0,45.0,35.0,10.0,35.0
2026-08-19 15:35,15.0,35.0,25.0,10.0,45.0
2026-08-19 15:53,10.0,40.0,20.0,10.0,25.0
2026-08-19 16:10,5.0,40.0,10.0,10.0,25.0
2026-08-19 16:42,15.0,20.0,20.0,10.0,10.0
2026-08-19 17:01,5.0,30.0,20.0,10.0,15.0
2026-08-19 17:30,15.0,25.0,10.0,10.0,25.0
2026-08-19 17:51,15.0,25.0,10.0,10.0,25.0
2026-08-19 18:09,5.0,20.0,10.0,10.0,5.0
2026-08-19 18:36,5.0,20.0,10.0,10.0,5.0
2026-08-19 18:55,5.0,20.0,10.0,10.0,5.0
2026-08-19 19:13,,,,,
2026-08-19 19:35,,,,,
2026-08-19 19:52,,,,,
2026-08-19 20:23,,,,,
