,Test Track,Guardians of the Galaxy: Cosmic Rewind,Remy's Ratatouille Adventure,Soarin',Living with the Land,Spaceship Earth,Mission: SPACE,Frozen Ever After,Gran Fiesta Tour Starring The Three Caballeros,The Seas with Nemo & Friends
2026-03-15 00:39,,,,,,,,,,
2026-03-15 01:54,,,,,,,,,,
2026-03-15 02:49,,,,,,,,,,
2026-03-15 03:36,,,,,,,,,,
2026-03-15 07:17,,,,,,,,,,
2026-03-15 07:42,,,,,,,,,,
2026-03-15 07:56,,,,,,,,,,
2026-03-15 08:36,30.0,45.0,40.0,,5.0,5.0,,,,
2026-03-15 09:32,105.0,90.0,40.0,5.0,5.0,5.0,20.0,50.0,,5.0
2026-03-15 10:03,85.0,105.0,40.0,30.0,10.0,20.0,20.0,35.0,5.0,5.0
2026-03-15 10:40,95.0,90.0,45.0,35.0,20.0,30.0,30.0,55.0,5.0,20.0
2026-03-15 11:00,105.0,80.0,65.0,35.0,25.0,30.0,20.0,65.0,5.0,20.0
2026-03-15 11:34,90.0,105.0,60.0,60.0,20.0,,20.0,65.0,5.0,40.0
2026-03-15 11:54,105.0,90.0,55.0,75.0,25.0,20.0,20.0,50.0,5.0,40.0
2026-03-15 12:18,125.0,80.0,45.0,60.0,20.0,25.0,20.0,50.0,5.0,30.0
2026-03-15 12:51,125.0,80.0,65.0,45.0,10.0,20.0,20.0,65.0,5.0,30.0
2026-03-15 13:14,140.0,60.0,65.0,80.0,25.0,20.0,20.0,60.0,5.0,10.0
2026-03-15 13:45,105.0,75.0,65.0,65.0,20.0,20.0,20.0,65.0,5.0,30.0
2026-03-15 14:00,,75.0,65.0,25.0,15.0,20.0,20.0,55.0,5.0,30.0
