,Expedition Everest - Legend of the Forbidden Mountain,Avatar Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-03-15 00:39,,,,,
2026-03-15 01:54,,,,,
2026-03-15 02:49,,,,,
2026-03-15 03:36,,,,,
2026-03-15 07:17,,,,,
2026-03-15 07:42,5.0,45.0,10.0,,
2026-03-15 07:56,5.0,70.0,10.0,,
2026-03-15 08:36,25.0,135.0,35.0,50.0,
2026-03-15 09:32,40.0,85.0,40.0,40.0,
2026-03-15 10:03,35.0,105.0,50.0,55.0,5.0
2026-03-15 10:40,50.0,115.0,45.0,65.0,25.0
2026-03-15 11:00,45.0,120.0,70.0,70.0,35.0
2026-03-15 11:34,65.0,85.0,65.0,55.0,75.0
2026-03-15 11:54,70.0,75.0,55.0,50.0,75.0
2026-03-15 12:18,65.0,110.0,55.0,55.0,55.0
2026-03-15 12:51,70.0,110.0,55.0,40.0,50.0
2026-03-15 13:14,65.0,110.0,70.0,40.0,65.0
2026-03-15 13:45,55.0,120.0,55.0,50.0,65.0
2026-03-15 14:00,55.0,120.0,65.0,45.0,75.0
