,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster Starring Aerosmith,The Twilight Zone Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-04-03 00:37,,,,,,,,
2026-04-03 02:01,,,,,,,,
2026-04-03 03:23,,,,,,,,
2026-04-03 07:30,,,,,,,,
2026-04-03 08:01,,,13.0,55.0,110.0,,10.0,5.0
2026-04-03 09:21,,,65.0,95.0,100.0,90.0,50.0,15.0
2026-04-03 10:08,,,,85.0,120.0,70.0,60.0,35.0
2026-04-03 10:59,105.0,,85.0,85.0,110.0,75.0,75.0,25.0
2026-04-03 11:38,120.0,,140.0,95.0,100.0,50.0,70.0,35.0
2026-04-03 12:06,95.0,,95.0,90.0,100.0,65.0,55.0,35.0
2026-04-03 12:55,110.0,,105.0,90.0,100.0,70.0,55.0,35.0
2026-04-03 13:25,105.0,,135.0,95.0,100.0,75.0,70.0,20.0
2026-04-03 13:56,110.0,,115.0,60.0,110.0,90.0,60.0,20.0
2026-04-03 14:39,95.0,,60.0,130.0,110.0,70.0,50.0,20.0
2026-04-03 15:25,95.0,,60.0,105.0,100.0,70.0,60.0,5.0
2026-04-03 15:56,85.0,,65.0,70.0,85.0,50.0,60.0,15.0
2026-04-03 16:29,70.0,,65.0,70.0,90.0,55.0,45.0,15.0
2026-04-03 17:02,75.0,,40.0,40.0,80.0,65.0,40.0,5.0
2026-04-03 17:42,75.0,,120.0,80.0,105.0,45.0,50.0,5.0
2026-04-03 18:02,90.0,,75.0,80.0,90.0,50.0,45.0,5.0
2026-04-03 18:45,60.0,,45.0,50.0,90.0,50.0,45.0,5.0
2026-04-03 19:18,60.0,,55.0,45.0,75.0,50.0,40.0,5.0
2026-04-03 19:50,50.0,,50.0,45.0,65.0,50.0,30.0,5.0
