,Expedition Everest - Legend of the Forbidden Mountain,Avatar Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-04-03 00:37,,,,,
2026-04-03 02:01,,,,,
2026-04-03 03:23,,,,,
2026-04-03 07:30,,,,,
2026-04-03 08:01,,140.0,10.0,,
2026-04-03 09:21,45.0,105.0,40.0,45.0,
2026-04-03 10:08,60.0,125.0,75.0,65.0,25.0
2026-04-03 10:59,55.0,120.0,65.0,50.0,75.0
2026-04-03 11:38,80.0,115.0,60.0,70.0,90.0
2026-04-03 12:06,55.0,95.0,75.0,65.0,70.0
2026-04-03 12:55,60.0,110.0,70.0,75.0,70.0
2026-04-03 13:25,60.0,105.0,55.0,100.0,50.0
2026-04-03 13:56,40.0,90.0,65.0,100.0,45.0
2026-04-03 14:39,45.0,80.0,55.0,50.0,130.0
2026-04-03 15:25,45.0,80.0,55.0,30.0,70.0
2026-04-03 15:56,35.0,80.0,45.0,35.0,70.0
2026-04-03 16:29,35.0,85.0,50.0,20.0,70.0
2026-04-03 17:02,50.0,55.0,60.0,15.0,85.0
2026-04-03 17:42,40.0,75.0,45.0,5.0,55.0
2026-04-03 18:02,30.0,85.0,65.0,15.0,35.0
