,Expedition Everest,Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-05-05 01:27,,,,,
2026-05-05 03:31,,,,,
2026-05-05 07:54,5.0,60.0,10.0,,
2026-05-05 09:01,10.0,30.0,30.0,30.0,
2026-05-05 11:43,40.0,45.0,55.0,65.0,35.0
2026-05-05 12:54,25.0,75.0,45.0,15.0,30.0
2026-05-05 14:05,20.0,75.0,45.0,10.0,40.0
2026-05-05 15:48,10.0,40.0,30.0,5.0,25.0
2026-05-05 16:45,25.0,50.0,40.0,5.0,15.0
2026-05-05 17:43,5.0,30.0,40.0,5.0,10.0
2026-05-05 18:36,,,,,
2026-05-05 19:28,,,,,
2026-05-05 20:11,,,,,
