,Test Track,Guardians of the Galaxy: Cosmic Rewind,Remy's Ratatouille Adventure,Soarin',Living with the Land,Spaceship Earth,Mission: SPACE,Frozen Ever After,Gran Fiesta Tour Starring The Three Caballeros,The Seas with Nemo & Friends
2026-08-24 00:23,,,,,,,,,,
2026-08-24 01:08,,,,,,,,,,
2026-08-24 01:50,,,,,,,,,,
2026-08-24 02:27,,,,,,,,,,
2026-08-24 03:37,,,,,,,,,,
2026-08-24 07:17,,,,,,,,,,
2026-08-24 07:45,,,,,,,,,,
2026-08-24 08:02,,,,,,,,,,
2026-08-24 09:04,55.0,75.0,50.0,5.0,5.0,5.0,15.0,,,5.0
2026-08-24 09:58,55.0,60.0,30.0,15.0,15.0,10.0,15.0,,5.0,5.0
2026-08-24 10:33,55.0,65.0,40.0,15.0,5.0,25.0,15.0,50.0,5.0,20.0
2026-08-24 11:18,65.0,55.0,40.0,20.0,15.0,15.0,25.0,50.0,5.0,20.0
2026-08-24 11:57,,55.0,30.0,20.0,20.0,20.0,20.0,45.0,5.0,20.0
2026-08-24 12:31,,55.0,35.0,25.0,10.0,10.0,20.0,55.0,5.0,25.0
2026-08-24 13:05,,50.0,55.0,20.0,10.0,10.0,15.0,55.0,5.0,30.0
2026-08-24 13:38,45.0,40.0,50.0,15.0,5.0,15.0,15.0,75.0,5.0,10.0
2026-08-24 14:02,60.0,45.0,35.0,15.0,10.0,25.0,15.0,70.0,5.0,5.0
