,Expedition Everest,Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-08-24 00:23,,,,,
2026-08-24 01:08,,,,,
2026-08-24 01:50,,,,,
2026-08-24 02:27,,,,,
2026-08-24 03:37,,,,,
2026-08-24 07:17,,,,,
2026-08-24 07:45,5.0,40.0,10.0,,
2026-08-24 08:02,5.0,50.0,10.0,10.0,
2026-08-24 09:04,15.0,55.0,35.0,35.0,
2026-08-24 09:58,20.0,50.0,40.0,40.0,10.0
2026-08-24 10:33,20.0,75.0,35.0,55.0,20.0
2026-08-24 11:18,40.0,65.0,45.0,45.0,45.0
2026-08-24 11:57,30.0,65.0,45.0,20.0,45.0
2026-08-24 12:31,45.0,70.0,40.0,10.0,45.0
2026-08-24 13:05,35.0,45.0,40.0,20.0,45.0
2026-08-24 13:38,20.0,45.0,35.0,10.0,40.0
2026-08-24 14:02,30.0,40.0,40.0,10.0,40.0
2026-08-24 14:51,15.0,45.0,40.0,5.0,50.0
2026-08-24 15:18,25.0,50.0,30.0,5.0,40.0
2026-08-24 15:47,20.0,35.0,25.0,5.0,35.0
2026-08-24 16:04,15.0,35.0,30.0,5.0,20.0
2026-08-24 16:40,10.0,30.0,30.0,5.0,15.0
2026-08-24 17:03,10.0,30.0,30.0,5.0,15.0
2026-08-24 17:37,5.0,20.0,20.0,5.0,15.0
2026-08-24 17:56,5.0,20.0,15.0,5.0,5.0
2026-08-24 18:18,,,,,
2026-08-24 18:46,,,,,
