,Expedition Everest,Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-05-04 01:50,,,,,
2026-05-04 04:09,,,,,
2026-05-04 08:17,5.0,120.0,30.0,30.0,
2026-05-04 10:32,55.0,110.0,60.0,65.0,40.0
2026-05-04 12:19,50.0,115.0,70.0,50.0,75.0
2026-05-04 13:54,50.0,95.0,60.0,45.0,55.0
2026-05-04 15:09,50.0,85.0,65.0,35.0,65.0
2026-05-04 16:39,45.0,70.0,60.0,20.0,30.0
2026-05-04 17:44,30.0,70.0,70.0,15.0,50.0
2026-05-04 18:39,30.0,45.0,40.0,10.0,
2026-05-04 19:31,25.0,30.0,20.0,,
