,Test Track,Guardians of the Galaxy: Cosmic Rewind,Remy's Ratatouille Adventure,Soarin',Living with the Land,Spaceship Earth,Mission: SPACE,Frozen Ever After,Gran Fiesta Tour Starring The Three Caballeros,The Seas with Nemo & Friends
2026-05-04 01:50,,,,,,,,,,
2026-05-04 04:09,,,,,,,,,,
2026-05-04 08:17,,,,,,,,,,
2026-05-04 10:32,80.0,115.0,50.0,50.0,35.0,,25.0,60.0,5.0,50.0
2026-05-04 12:19,105.0,125.0,55.0,30.0,25.0,15.0,15.0,75.0,10.0,30.0
2026-05-04 13:54,65.0,85.0,55.0,40.0,15.0,20.0,15.0,65.0,15.0,35.0
2026-05-04 15:09,90.0,105.0,75.0,45.0,20.0,15.0,15.0,70.0,15.0,10.0
2026-05-04 16:39,,80.0,55.0,45.0,15.0,20.0,15.0,75.0,10.0,15.0
2026-05-04 17:44,100.0,95.0,65.0,15.0,10.0,20.0,15.0,55.0,10.0,10.0
2026-05-04 18:39,125.0,105.0,60.0,55.0,10.0,15.0,15.0,60.0,5.0,5.0
2026-05-04 19:31,120.0,105.0,60.0,40.0,5.0,15.0,15.0,50.0,5.0,5.0
2026-05-04 21:12,,,,,,,,,,
