,Expedition Everest,Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-07-15 01:08,,,,,
2026-07-15 03:22,,,,,
2026-07-15 08:08,5.0,45.0,10.0,20.0,
2026-07-15 10:05,25.0,50.0,55.0,70.0,10.0
2026-07-15 11:41,40.0,65.0,60.0,35.0,30.0
2026-07-15 12:54,30.0,45.0,20.0,10.0,35.0
2026-07-15 13:59,15.0,40.0,40.0,10.0,25.0
2026-07-15 15:13,25.0,40.0,40.0,5.0,10.0
2026-07-15 16:17,10.0,25.0,30.0,5.0,20.0
2026-07-15 17:16,10.0,30.0,25.0,10.0,15.0
2026-07-15 18:14,10.0,20.0,10.0,10.0,5.0
2026-07-15 19:12,,,,,
2026-07-15 20:08,,,,,
2026-07-15 22:11,,,,,
