,Test Track,Guardians of the Galaxy: Cosmic Rewind,Remy's Ratatouille Adventure,Soarin',Living with the Land,Spaceship Earth,Mission: SPACE,Frozen Ever After,Gran Fiesta Tour Starring The Three Caballeros,The Seas with Nemo & Friends
2026-07-15 01:08,,,,,,,,,,
2026-07-15 03:22,,,,,,,,,,
2026-07-15 08:08,,,,,,,,,,
2026-07-15 10:05,55.0,55.0,40.0,40.0,15.0,20.0,15.0,,5.0,5.0
2026-07-15 11:41,75.0,50.0,30.0,45.0,30.0,15.0,15.0,,5.0,40.0
2026-07-15 12:54,70.0,55.0,45.0,25.0,10.0,20.0,20.0,,5.0,30.0
2026-07-15 13:59,70.0,55.0,35.0,25.0,10.0,10.0,15.0,,5.0,25.0
2026-07-15 15:13,70.0,60.0,55.0,30.0,20.0,5.0,15.0,,5.0,5.0
2026-07-15 16:17,60.0,55.0,55.0,25.0,,10.0,15.0,,5.0,10.0
2026-07-15 17:16,80.0,70.0,30.0,25.0,5.0,10.0,15.0,,5.0,5.0
2026-07-15 18:14,70.0,55.0,35.0,25.0,10.0,5.0,15.0,55.0,5.0,5.0
2026-07-15 19:12,60.0,65.0,45.0,20.0,5.0,5.0,15.0,75.0,5.0,5.0
2026-07-15 20:08,65.0,65.0,45.0,15.0,5.0,5.0,15.0,65.0,5.0,5.0
