,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster,Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-07-03 02:16,,,,,,,,
2026-07-03 05:37,,,,,,,,
2026-07-03 08:51,,,13.0,20.0,,20.0,15.0,5.0
2026-07-03 10:58,60.0,,40.0,30.0,,55.0,45.0,5.0
2026-07-03 12:23,60.0,,40.0,35.0,,45.0,60.0,5.0
2026-07-03 13:53,40.0,,20.0,25.0,70.0,35.0,40.0,5.0
2026-07-03 14:54,55.0,,30.0,25.0,100.0,30.0,,5.0
2026-07-03 16:08,40.0,,30.0,35.0,150.0,30.0,35.0,5.0
2026-07-03 17:20,55.0,,25.0,20.0,80.0,35.0,,5.0
2026-07-03 18:28,,,35.0,25.0,85.0,35.0,,5.0
