,Expedition Everest,Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-04-19 01:13,,,,,
2026-04-19 02:53,,,,,
2026-04-19 04:02,,,,,
2026-04-19 07:27,,,,,
2026-04-19 07:57,5.0,50.0,10.0,,
2026-04-19 08:52,5.0,55.0,20.0,20.0,
2026-04-19 09:49,50.0,70.0,55.0,40.0,
2026-04-19 10:29,50.0,65.0,40.0,55.0,
2026-04-19 11:06,45.0,75.0,55.0,70.0,
2026-04-19 11:50,45.0,65.0,60.0,50.0,45.0
2026-04-19 12:23,35.0,65.0,55.0,45.0,55.0
2026-04-19 13:01,45.0,55.0,50.0,45.0,50.0
2026-04-19 13:40,40.0,55.0,50.0,40.0,60.0
2026-04-19 14:07,45.0,60.0,50.0,20.0,70.0
2026-04-19 15:06,40.0,60.0,55.0,10.0,60.0
2026-04-19 15:49,35.0,45.0,45.0,10.0,70.0
2026-04-19 16:19,25.0,40.0,40.0,10.0,50.0
2026-04-19 16:56,20.0,30.0,40.0,5.0,40.0
2026-04-19 17:30,15.0,40.0,35.0,5.0,40.0
2026-04-19 18:00,10.0,35.0,25.0,5.0,20.0
