,Expedition Everest,Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-04-23 01:12,,,,,
2026-04-23 03:09,,,,,
2026-04-23 07:53,5.0,30.0,10.0,,
2026-04-23 08:51,5.0,45.0,25.0,15.0,
2026-04-23 11:02,35.0,45.0,55.0,65.0,20.0
2026-04-23 12:48,35.0,50.0,35.0,50.0,35.0
2026-04-23 13:59,,55.0,60.0,30.0,45.0
2026-04-23 15:10,,40.0,50.0,15.0,50.0
2026-04-23 16:12,65.0,35.0,50.0,10.0,35.0
2026-04-23 17:06,45.0,40.0,45.0,10.0,25.0
2026-04-23 17:57,5.0,25.0,15.0,10.0,10.0
2026-04-23 18:40,,,,,
2026-04-23 19:29,,,,,
2026-04-23 20:08,,,,,
2026-04-23 22:14,,,,,
