,Test Track,Guardians of the Galaxy: Cosmic Rewind,Remy's Ratatouille Adventure,Soarin',Living with the Land,Spaceship Earth,Mission: SPACE,Frozen Ever After,Gran Fiesta Tour Starring The Three Caballeros,The Seas with Nemo & Friends
2026-04-23 01:12,,,,,,,,,,
2026-04-23 03:09,,,,,,,,,,
2026-04-23 07:53,,,,,,,,,,
2026-04-23 08:51,35.0,40.0,30.0,10.0,,5.0,15.0,,,5.0
2026-04-23 11:02,80.0,75.0,50.0,30.0,25.0,20.0,25.0,50.0,5.0,30.0
2026-04-23 12:48,70.0,85.0,65.0,25.0,25.0,20.0,15.0,55.0,10.0,30.0
2026-04-23 13:59,75.0,65.0,75.0,45.0,15.0,10.0,15.0,40.0,,25.0
2026-04-23 15:10,,80.0,50.0,30.0,20.0,15.0,15.0,50.0,20.0,10.0
2026-04-23 16:12,,85.0,70.0,40.0,15.0,15.0,25.0,65.0,10.0,5.0
